H,Runs_renamed_renamed_renamed,HsHD,Ave_renamed_renamed_renamed,BF_renamed_renamed_renamed,SR_renamed_renamed_renamed,100_renamed_renamed_renamed,50_renamed_renamed_renamed,0_renamed_renamed_renamed,4s_renamed_renamed_renamed,6s_renamed_renamed_renamed
M Patel,85,26,12.14,88,96.59,0,0,0,6,4
N Khosla,84,27,21.0,95,88.42,0,0,0,3,2
I Okpe,84,19,10.5,109,77.06,0,0,0,2,2
A Hossain,83,52,11.85,63,131.74,0,1,2,10,1
J Davey,83,24,16.6,63,131.74,0,0,0,5,3
P Gallagher,83,36,27.66,68,122.05,0,0,0,4,5
M Singh,83,36,13.83,98,84.69,0,0,0,10,1
A Agar,82,29,13.66,79,103.79,0,0,0,6,3
F Cossa,82,19,20.5,90,91.11,0,0,0,6,4
A Mohan,82,41,16.4,72,113.88,0,0,1,9,1
M Awais,82,42,82.0,59,138.98,0,0,0,12,1
T Paine,82,25,10.25,77,106.49,0,0,2,7,3
S Ashraf,82,38,20.5,67,122.38,0,0,0,8,3
R Siri,82,49,27.33,80,102.5,0,0,1,6,1
A Jones,81,39,20.25,81,100.0,0,0,0,3,2
M Jones,81,27,16.2,83,97.59,0,0,0,5,3
A Abbasi,80,18,13.33,87,91.95,0,0,0,7,2
D Darrell,80,30,8.88,95,84.21,0,0,1,1,5
I Hussain,80,40,26.66,76,105.26,0,0,0,7,6
R Paudel,80,19,10.0,89,89.88,0,0,0,7,0
C Rizwan,80,44,20.0,73,109.58,0,0,0,10,1
Z Green,79,18,9.87,78,101.28,0,0,1,4,3
N Hasan,78,30,19.5,63,123.8,0,0,1,9,0
G Banner,77,47,38.5,65,118.46,0,0,0,1,8
S Goud,77,31,19.25,72,106.94,0,0,0,3,3
S Wasif,77,40,15.4,66,116.66,0,0,1,3,1
S Wijeyeratne,77,56,38.5,51,150.98,0,1,0,12,0
T Bavuma,76,49,76.0,66,115.15,0,0,0,5,2
D Hooper,76,19,15.2,91,83.51,0,0,1,3,1
H Kayondo,76,31,25.33,69,110.14,0,0,0,2,4
R Mahmood,76,37,19.0,61,124.59,0,0,0,3,3
N Kirton,75,37,25.0,83,90.36,0,0,0,4,1
H Patel,74,22,18.5,82,90.24,0,0,0,9,1
S Hirugade,74,35,12.33,86,86.04,0,0,1,8,2
S Runsewe,74,27,14.8,87,85.05,0,0,1,4,0
G Venkateswaran,74,59,37.0,58,127.58,0,1,0,10,1
J Vira,74,23,9.25,68,108.82,0,0,1,7,2
N Broom,73,36,12.16,68,107.35,0,0,0,8,1
T Fray,73,29,8.11,96,76.04,0,0,3,9,0
A McBrine,73,14,12.16,70,104.28,0,0,1,6,1
C Munoz-Mills,73,29,18.25,66,110.6,0,0,0,5,3
A Oyede,73,39,10.42,104,70.19,0,0,2,5,1
A Phehlukwayo,73,27,12.16,66,110.6,0,0,3,10,1
R Thomas,73,18,10.42,95,76.84,0,0,1,7,1
H Mughal,72,31,18.0,65,110.76,0,0,0,6,1
H Rasheed,72,22,10.28,100,72.0,0,0,0,4,1
A Pusthay,72,37,14.4,60,120.0,0,0,0,5,1
A Wright,72,43,10.28,84,85.71,0,0,1,6,3
S Naqash,71,38,17.75,52,136.53,0,0,2,2,5
T Taylor,71,19,17.75,91,78.02,0,0,0,2,5
A Hashmi,70,31,17.5,66,106.06,0,0,1,4,0
F Mulivai,70,48,17.5,37,189.18,0,0,1,2,8
H Farooq,69,24,17.25,68,101.47,0,0,0,7,2
C Hauptfleisch,69,42,13.8,85,81.17,0,0,1,4,2
I Haq,69,49,17.25,47,146.8,0,0,1,6,4
T Sole,69,33,17.25,43,160.46,0,0,0,9,1
J Umanath,69,25,11.5,77,89.61,0,0,1,7,2
R Ankad,68,40,17.0,72,94.44,0,0,2,7,0
A Cremer,68,17,5.23,102,66.66,0,0,2,2,0
D Zadran,68,13,7.55,42,161.9,0,0,3,4,6
R Escobar,68,28,22.66,76,89.47,0,0,0,6,1
A Patel,68,20,17.0,54,125.92,0,0,0,3,3
S Zulfiqar,68,18,9.71,68,100.0,0,0,0,5,0
J Vare,68,38,9.71,71,95.77,0,0,0,4,0
C Viljoen,68,33,17.0,70,97.14,0,0,0,7,1
W Khan,68,33,17.0,89,76.4,0,0,1,3,2
H Ahmad,67,30,13.4,59,113.55,0,0,0,6,1
A Michael,67,23,22.33,69,97.1,0,0,0,5,2
Z Farid,67,55,16.75,53,126.41,0,1,0,5,3
A Khan,66,22,16.5,60,110.0,0,0,0,7,1
P Mendis,66,41,16.5,46,143.47,0,0,1,6,3
W Ahmed,66,19,13.2,80,82.5,0,0,0,6,2
J Bulele,65,24,9.28,95,68.42,0,0,1,8,0
S Kuggeleijn,65,35,32.5,30,216.66,0,0,1,4,6
H Lakov,65,28,21.66,62,104.83,0,0,0,5,0
F Allen,64,27,9.14,56,114.28,0,0,2,5,3
A Uddin,64,31,10.66,79,81.01,0,0,0,3,0
A Iqbal,64,40,16.0,72,88.88,0,0,0,6,1
B Arora,64,28,16.0,64,100.0,0,0,0,5,3
K Birkenstock,64,59,32.0,33,193.93,0,1,0,7,4
S Dube,64,54,32.0,42,152.38,0,1,0,3,4
G Manan,64,29,21.33,52,123.07,0,0,0,11,1
A Ahir,64,30,21.33,59,108.47,0,0,0,10,1
W Rankin,64,16,9.14,74,86.48,0,0,2,3,3
S Khan,64,28,32.0,42,152.38,0,0,0,3,6
U Waheed,64,28,21.33,61,104.91,0,0,1,6,1
V Balakrishnan,63,29,31.5,82,76.82,0,0,0,6,1
L Barker,63,20,7.87,69,91.3,0,0,3,8,0
I Ismail,63,17,9.0,58,108.62,0,0,0,7,3
K Lal,63,38,21.0,41,153.65,0,0,0,3,2
O Hald,61,18,8.71,57,107.01,0,0,1,4,2
H Ali,61,23,12.2,35,174.28,0,0,2,3,5
R Nehonde,61,26,10.16,79,77.21,0,0,1,3,1
N Odhiambo,61,26,10.16,94,64.89,0,0,2,4,1
A Sathya,61,30,20.33,61,100.0,0,0,0,3,2
P Shamdasani,61,37,20.33,72,84.72,0,0,0,3,1
A Tye,61,20,10.16,55,110.9,0,0,2,4,3
D Budge,60,24,30.0,59,101.69,0,0,0,2,3
J Kila,60,27,30.0,31,193.54,0,0,0,4,5
Z Khan,60,33,60.0,61,98.36,0,0,0,4,0
A Haque,59,18,14.75,61,96.72,0,0,1,4,0
H Niazi,59,27,19.66,47,125.53,0,0,0,3,3
M Amir,59,21,7.37,72,81.94,0,0,2,2,3
M Saleem,59,52,14.75,54,109.25,0,1,0,5,1
A Perera,59,16,11.8,65,90.76,0,0,0,5,1
I Sodhi,59,15,14.75,56,105.35,0,0,1,4,3
A Ikram,58,23,14.5,73,79.45,0,0,0,4,4
A Hider,58,22,58.0,43,134.88,0,0,0,5,4
D Heyliger,58,23,29.0,42,138.09,0,0,1,2,3
J Huo,58,18,8.28,61,95.08,0,0,1,7,2
D Jacobs,58,20,14.5,82,70.73,0,0,0,7,0
M Azzam,58,17,14.5,61,95.08,0,0,1,6,0
S Butt,58,30,29.0,55,105.45,0,0,0,3,4
F Butt,57,25,28.5,48,118.75,0,0,0,4,2
C Jonker,57,49,28.5,29,196.55,0,0,0,5,3
A Makesh,57,57,57.0,41,139.02,0,1,0,3,4
G Meade,57,18,11.4,63,90.47,0,0,0,4,1
A Sarma,57,28,19.0,67,85.07,0,0,0,3,1
P Sarraf,57,18,8.14,84,67.85,0,0,3,9,0
A Turner,57,22,14.25,57,100.0,0,0,1,1,2
A Sher,56,24,11.2,36,155.55,0,0,0,1,4
T Banton,56,31,18.66,34,164.7,0,0,0,6,3
E Knowles,56,19,14.0,54,103.7,0,0,1,7,1
P Manning,56,28,11.2,89,62.92,0,0,1,4,0
M Ross,56,34,14.0,42,133.33,0,0,0,2,3
D Ajekun,55,17,9.16,81,67.9,0,0,0,6,1
M Aslam,55,26,13.75,59,93.22,0,0,1,4,1
C Carter,55,17,13.75,63,87.3,0,0,0,3,0
P Silva,55,14,13.75,50,110.0,0,0,0,3,0
K Jarvis,55,27,7.85,64,85.93,0,0,4,1,4
M Ahsan,55,51,55.0,18,305.55,0,1,0,2,7
O Newey,55,23,11.0,66,83.33,0,0,1,2,0
R Satheesan,55,23,27.5,42,130.95,0,0,0,3,4
J Chilia,54,23,18.0,54,100.0,0,0,0,3,3
M Dixit,54,38,27.0,59,91.52,0,0,0,6,2
J Dunford,54,29,9.0,67,80.59,0,0,3,2,0
M Mandy,54,32,13.5,67,80.59,0,0,0,8,0
S Priyanjan,54,40,54.0,62,87.09,0,0,0,1,2
B King,53,31,10.6,50,106.0,0,0,0,6,1
M Watt,53,14,10.6,40,132.5,0,0,1,6,1
T Bharaj,52,19,6.5,77,67.53,0,0,1,2,0
G Caisley,52,38,13.0,60,86.66,0,0,1,3,2
S Cotter,52,25,13.0,62,83.87,0,0,0,4,1
A Manousis,52,23,26.0,49,106.12,0,0,0,5,1
D Nakrani,52,19,17.33,48,108.33,0,0,0,2,3
O Yousof,52,33,17.33,70,74.28,0,0,0,5,0
V Mbazo,51,27,25.5,67,76.11,0,0,0,3,0
A Rashid,51,9,7.28,61,83.6,0,0,0,4,0
M Huda,50,30,25.0,32,156.25,0,0,0,4,2
M Richardson,50,35,50.0,38,131.57,0,0,0,7,0
A Mauroof,49,15,12.25,63,77.77,0,0,0,3,0
G Chaturvedi,49,25,24.5,29,168.96,0,0,0,6,1
A Dananjaya,49,11,6.12,57,85.96,0,0,2,6,0
J Frylinck,49,19,16.33,47,104.25,0,0,1,2,1
J Siddiqui,49,21,12.25,41,119.51,0,0,1,2,2
H Kuhn,49,29,12.25,42,116.66,0,0,0,3,2
N Kumar,49,39,16.33,58,84.48,0,0,1,3,2
S Zakhil,49,18,16.33,35,140.0,0,0,0,2,3
D Smith,49,22,16.33,53,92.45,0,0,0,5,0
S Jamil,48,24,16.0,49,97.95,0,0,0,5,2
M Nadeem,48,43,16.0,49,97.95,0,0,0,7,1
M Patel,48,40,48.0,44,109.09,0,0,0,6,1
Q Khan,48,25,16.0,43,111.62,0,0,0,2,3
Y Seneveratne,48,19,8.0,79,60.75,0,0,1,5,1
J Singye,48,40,24.0,64,75.0,0,0,0,2,0
C Zhuwao,48,24,6.85,66,72.72,0,0,4,7,1
M Aboagye,47,24,23.5,53,88.67,0,0,0,3,0
V Adewoye,47,23,11.75,42,111.9,0,0,2,4,2
D Khan,47,17,6.71,40,117.5,0,0,2,0,4
D Weston,47,18,7.83,54,87.03,0,0,2,5,1
S Ahmad,46,25,23.0,54,85.18,0,0,0,2,0
K Gupta,46,19,15.33,64,71.87,0,0,1,1,0
Z Hoque,46,20,15.33,35,131.42,0,0,0,4,2
R Trott,46,19,7.66,84,54.76,0,0,2,3,0
A Khan,45,22,22.5,39,115.38,0,0,0,2,1
S Ateak,45,26,15.0,48,93.75,0,0,0,6,1
R Bakum,45,18,11.25,45,100.0,0,0,1,4,2
M Hunter,45,27,15.0,61,73.77,0,0,0,2,1
N Maddinson,45,34,11.25,35,128.57,0,0,0,6,1
M Latif,45,24,15.0,52,86.53,0,0,0,2,2
T Munyonga,45,44,45.0,34,132.35,0,0,0,3,1
N Rahman,45,24,15.0,45,100.0,0,0,0,4,0
V Tembo,45,20,15.0,52,86.53,0,0,0,2,0
Y Haroon,45,29,11.25,62,72.58,0,0,0,4,1
Z Sarwar,45,33,15.0,46,97.82,0,0,2,1,4
A Bilal,44,41,22.0,24,183.33,0,0,0,6,2
A Ayannaike,44,33,14.66,43,102.32,0,0,1,4,2
A Banner,44,28,22.0,29,151.72,0,0,0,4,3
L Emilio,44,23,11.0,35,125.71,0,0,0,4,1
G Gomes,44,28,8.8,46,95.65,0,0,1,6,1
I Ullah,44,42,11.0,47,93.61,0,0,1,4,1
S Badree,43,14,7.16,65,66.15,0,0,0,1,1
P Baron,43,27,14.33,38,113.15,0,0,0,0,4
P Mishra,43,23,21.5,26,165.38,0,0,0,3,4
M Rahman,43,15,4.3,55,78.18,0,0,4,3,3
S Zafar,43,20,14.33,33,130.3,0,0,0,3,2
M Patel,43,40,21.5,39,110.25,0,0,0,2,3
F Baaleri,42,17,10.5,60,70.0,0,0,0,6,0
M Mahfooz,42,16,8.4,53,79.24,0,0,0,3,0
M Ganee,42,19,10.5,44,95.45,0,0,0,3,1
L Plunkett,42,18,6.0,34,123.52,0,0,3,3,1
M Sert,42,16,14.0,59,71.18,0,0,0,5,0
D Stovell,42,18,8.4,50,84.0,0,0,1,5,0
J Vifah,42,23,14.0,45,93.33,0,0,0,2,1
K Young,42,27,42.0,34,123.52,0,0,0,3,1
A Rahimzei,41,17,10.25,33,124.24,0,0,0,2,1
A Hafizs,41,21,13.66,39,105.12,0,0,0,3,1
A Ashokan,41,34,20.5,29,141.37,0,0,0,2,3
K Joshi,41,32,20.5,41,100.0,0,0,0,4,2
B Mavuta,41,28,41.0,23,178.26,0,0,0,3,2
D Muhumuza,41,28,10.25,36,113.88,0,0,1,3,1
M Ekrami,41,28,20.5,48,85.41,0,0,0,2,0
A Hamza,40,21,10.0,38,105.26,0,0,1,3,1
T Chisoro,40,14,10.0,42,95.23,0,0,0,2,2
B Cutting,40,29,10.0,27,148.14,0,0,1,2,3
F Sham,40,15,6.66,56,71.42,0,0,0,2,0
I Bulbulia,40,32,13.33,42,95.23,0,0,1,4,1
L Musiani,40,22,10.0,60,66.66,0,0,1,4,0
E Packard,40,26,10.0,49,81.63,0,0,0,2,1
S Ravikumar,40,29,20.0,44,90.9,0,0,1,3,1
S Farhan,40,39,13.33,46,86.95,0,0,1,2,3
F Stoman,40,21,13.33,61,65.57,0,0,0,1,1
T Aziz,40,23,13.33,47,85.1,0,0,1,1,2
I Khan,39,36,19.5,32,121.87,0,0,0,2,3
P Silas,39,20,13.0,44,88.63,0,0,0,1,1
S Tobgay,39,24,19.5,58,67.24,0,0,0,1,0
P Meekeren,39,18,4.87,40,97.5,0,0,3,0,3
A Saiyed,38,22,12.66,47,80.85,0,0,0,4,0
D Kansonkho,38,21,9.5,47,80.85,0,0,2,5,0
A Kitchen,38,16,12.66,32,118.75,0,0,0,3,1
B Mailata,38,17,9.5,48,79.16,0,0,0,2,1
M Amin,38,15,19.0,39,97.43,0,0,0,5,0
H Pragji,38,30,12.66,65,58.46,0,0,0,1,0
V Chandra,37,26,18.5,30,123.33,0,0,0,3,3
I Danladi,37,37,18.5,38,97.36,0,0,1,4,1
C Delany,37,21,9.25,60,61.66,0,0,1,2,0
J Hirschi,37,13,9.25,62,59.67,0,0,0,0,0
A Ifill,37,9,7.4,61,60.65,0,0,0,2,1
R Kumar,37,32,18.5,27,137.03,0,0,0,6,0
D Manani,37,19,37.0,32,115.62,0,0,0,4,1
S Sola,37,18,12.33,36,102.77,0,0,0,1,3
C Soper,37,19,18.5,41,90.24,0,0,0,0,3
B Wheeler,37,30,18.5,28,132.14,0,0,0,3,2
T Curran,36,14,18.0,27,133.33,0,0,0,0,3
J Dunn,36,23,12.0,41,87.8,0,0,0,0,1
J Jojo,36,13,18.0,27,133.33,0,0,0,1,1
T Kane,36,26,18.0,23,156.52,0,0,0,5,0
M Qasim,36,13,18.0,51,70.58,0,0,0,2,0
M Hub,36,16,12.0,41,87.8,0,0,1,2,0
A Shakoor,35,20,17.5,40,87.5,0,0,0,3,0
M Biddappa,35,22,35.0,47,74.46,0,0,0,1,1
P Cummins,35,13,5.0,37,94.59,0,0,2,2,1
S Curran,35,24,11.66,23,152.17,0,0,0,3,2
C Lange,35,22,11.66,22,159.09,0,0,0,2,2
L Hermida,35,12,11.66,52,67.3,0,0,0,1,0
J Malan,35,33,17.5,37,94.59,0,0,0,3,2
V Morea,35,19,7.0,44,79.54,0,0,1,4,0
N Ali,35,25,17.5,31,112.9,0,0,0,1,3
S Ahmed,35,11,5.83,37,94.59,0,0,3,0,2
D Anefie,34,18,17.0,38,89.47,0,0,1,2,0
N Ahmed,34,10,6.8,55,61.81,0,0,1,2,0
S Rakshit,34,15,8.5,44,77.27,0,0,1,5,0
S Zulfiqar,34,18,8.5,43,79.06,0,0,0,1,0
J Sumerauer,34,13,6.8,39,87.17,0,0,0,3,0
W Viraliliu,34,13,8.5,26,130.76,0,0,0,3,2
P Handscomb,33,20,33.0,33,100.0,0,0,0,1,0
F Klaassen,33,13,5.5,34,97.05,0,0,1,2,0
C Mpofu,33,17,8.25,40,82.5,0,0,3,3,1
K Nestor,33,16,11.0,35,94.28,0,0,0,1,2
I Pandey,33,22,8.25,50,66.0,0,0,0,5,0
S Singh,33,14,6.6,32,103.12,0,0,0,2,0
A Westphal,33,24,6.6,40,82.5,0,0,0,3,0
A Wahid,32,17,16.0,26,123.07,0,0,0,4,1
K Bagabena,32,23,32.0,32,100.0,0,0,1,1,0
L Harrington-Myers,32,17,10.66,39,82.05,0,0,1,1,1
K Ahmed,32,18,16.0,47,68.08,0,0,0,1,0
G O'Brien,32,7,8.0,38,84.21,0,0,1,1,2
S Khan,32,16,8.0,27,118.51,0,0,1,2,1
K Silva,32,25,16.0,12,266.66,0,0,0,2,3
P Chameera,31,12,7.75,40,77.5,0,0,2,3,0
P Chandran,31,23,10.33,47,65.95,0,0,1,2,1
V Ganesan,31,15,7.75,42,73.8,0,0,0,0,0
J Singh,31,31,15.5,25,124.0,0,0,1,0,3
A Mehmi,31,21,31.0,29,106.89,0,0,0,2,1
R Mukasa,31,14,7.75,40,77.5,0,0,0,1,0
V Padhaal,31,14,6.2,44,70.45,0,0,0,4,0
D Sheeli,31,19,10.33,32,96.87,0,0,0,3,0
A Stokes,31,16,6.2,26,119.23,0,0,3,6,0
T Ali,31,19,10.33,53,58.49,0,0,0,1,0
Z Zulkifle,31,22,7.75,29,106.89,0,0,1,2,2
D Cato,30,20,10.0,59,50.84,0,0,0,2,0
L Tissier,30,9,6.0,29,103.44,0,0,0,2,0
M Mehmood,29,13,7.25,41,70.73,0,0,1,1,1
S Obed,29,9,5.8,41,70.73,0,0,0,1,0
S Rossi,29,13,9.66,27,107.4,0,0,0,2,1
J Salazar,29,20,29.0,36,80.55,0,0,0,0,0
T Ahmed,29,15,9.66,31,93.54,0,0,1,3,1
D Tiripano,29,14,7.25,34,85.29,0,0,2,0,2
C Zavoiu,29,27,14.5,39,74.35,0,0,0,3,0
A Malik,28,11,9.33,30,93.33,0,0,1,1,1
K Ahuja,28,8,4.0,50,56.0,0,0,1,1,1
E Miles,28,16,14.0,31,90.32,0,0,0,1,0
A Nehra,28,22,5.6,39,71.79,0,0,3,1,2
C Perchard,28,12,9.33,35,80.0,0,0,0,0,0
R Pillai,28,14,7.0,44,63.63,0,0,1,1,0
S Ashraf,28,18,9.33,29,96.55,0,0,0,1,1
A Wardak,27,20,13.5,38,71.05,0,0,0,1,0
T Allen,27,11,13.5,17,158.82,0,0,0,0,3
G Bakiweyem,27,15,27.0,30,90.0,0,0,0,0,0
T Barker,27,18,6.75,33,81.81,0,0,0,1,0
D Christian,27,9,6.75,28,96.42,0,0,1,2,0
R Dorji,27,27,27.0,23,117.39,0,0,0,0,4
H Fennell,27,25,9.0,23,117.39,0,0,3,4,1
S Pathirana,27,14,5.4,24,112.5,0,0,0,3,0
S Zadran,27,13,3.85,65,41.53,0,0,3,0,3
S Qureshi,27,12,6.75,34,79.41,0,0,1,2,0
W Ali,27,14,13.5,31,87.09,0,0,0,0,2
T Bruyn,26,19,13.0,16,162.5,0,0,0,3,1
R Goodwin,26,16,8.66,36,72.22,0,0,1,1,0
I Dawlatzai,26,24,26.0,16,162.5,0,0,0,2,2
G Kansonkho,26,22,13.0,21,123.8,0,0,1,4,0
L Oluoch,26,7,8.66,33,78.78,0,0,0,2,0
E Otieno,26,8,5.2,48,54.16,0,0,1,0,1
T Saha,26,18,26.0,23,113.04,0,0,0,1,0
W Sundar,26,14,13.0,12,216.66,0,0,1,1,3
C Wright,26,16,8.66,31,83.87,0,0,1,2,0
P Agnihotri,25,19,12.5,36,69.44,0,0,0,2,0
A Ahmed,25,25,25.0,27,92.59,0,0,0,2,0
T Jamtsho,25,19,25.0,27,92.59,0,0,0,1,1
J Kiani,25,13,12.5,36,69.44,0,0,0,2,0
W Masakadza,25,6,8.33,30,83.33,0,0,0,2,0
G Murali,25,14,8.33,44,56.81,0,0,0,1,0
S Okpe,25,12,5.0,46,54.34,0,0,0,1,0
C Pengkumta,25,18,25.0,31,80.64,0,0,0,2,0
S Badar,25,16,8.33,32,78.12,0,0,1,3,0
S Singh,25,12,6.25,26,96.15,0,0,1,1,1
A Srivastav,25,21,6.25,37,67.56,0,0,2,2,0
T Dar,25,15,12.5,25,100.0,0,0,0,1,2
V Kumar,25,17,12.5,30,83.33,0,0,0,3,0
A Hanif,24,16,12.0,23,104.34,0,0,0,3,0
A Farhath,24,22,24.0,22,109.09,0,0,0,2,0
M Bacarese,24,13,12.0,37,64.86,0,0,0,0,1
O Bascome,24,16,8.0,29,82.75,0,0,0,3,0
B Tahir,24,13,6.0,21,114.28,0,0,1,1,1
B Ivanov,24,14,12.0,55,43.63,0,0,0,1,0
J Singh,24,12,6.0,30,80.0,0,0,0,1,0
M McClenaghan,24,10,6.0,23,104.34,0,0,2,1,2
B Regmi,24,11,3.42,56,42.85,0,0,1,2,0
D Brangman,23,23,11.5,25,92.0,0,0,2,2,1
C Floyd,23,21,23.0,23,100.0,0,0,0,2,1
H Ahmadzai,23,15,23.0,29,79.31,0,0,0,2,1
H Singh,23,17,7.66,48,47.91,0,0,0,1,0
I Anwar,23,16,23.0,22,104.54,0,0,0,2,0
R Inampud,23,17,23.0,28,82.14,0,0,0,0,1
B Kumar,23,9,5.75,29,79.31,0,0,1,0,0
S Lamichhane,23,9,5.75,29,79.31,0,0,1,1,0
N Master,23,21,11.5,18,127.77,0,0,0,4,0
V Sachdev,23,12,23.0,31,74.19,0,0,0,2,0
S Islam,23,16,4.6,33,69.69,0,0,1,1,1
S Sohal,23,18,11.5,29,79.31,0,0,0,1,1
A Zampa,23,9,11.5,26,88.46,0,0,0,2,0
D Ankrah,22,12,7.33,43,51.16,0,0,0,2,0
S Aquilina,22,14,5.5,30,73.33,0,0,0,2,0
Z Arinaitwe,22,15,7.33,26,84.61,0,0,0,3,1
T Boult,22,8,4.4,32,68.75,0,0,1,1,0
P Silva,22,21,11.0,22,100.0,0,0,0,1,0
M Morkel,22,8,7.33,18,122.22,0,0,0,3,1
A Muslar,22,13,7.33,27,81.48,0,0,1,1,2
A Akbarjan,21,21,21.0,17,123.52,0,0,0,3,0
B Chari,21,19,7.0,31,67.74,0,0,1,4,0
L Gregory,21,15,7.0,19,110.52,0,0,1,0,2
I Imam-ul-Haq,21,14,10.5,25,84.0,0,0,0,2,0
K NG,21,14,7.0,30,70.0,0,0,0,0,1
L Madushanka,21,20,10.5,26,80.76,0,0,0,1,0
C Mahoney,21,21,21.0,27,77.77,0,0,0,1,0
S Murari,21,16,10.5,20,105.0,0,0,0,2,0
S Tiai,21,11,7.0,22,95.45,0,0,1,2,0
E Haq,21,10,4.2,36,58.33,0,0,0,2,0
A Haqqiem,20,12,20.0,20,100.0,0,0,0,1,0
K Flowers,20,17,10.0,33,60.6,0,0,1,3,0
Z Groenewald,20,13,6.66,35,57.14,0,0,0,0,0
K Yadav,20,16,20.0,20,100.0,0,0,0,2,0
N Pokana,20,8,10.0,28,71.42,0,0,0,0,0
J Sanjaya,20,6,6.66,18,111.11,0,0,0,3,0
J Scamans,20,12,20.0,19,105.26,0,0,0,1,0
A Uniyal,20,16,10.0,24,83.33,0,0,0,2,0
C Waiswa,20,14,20.0,14,142.85,0,0,0,1,1
A Mohammad,19,19,9.5,25,76.0,0,0,1,0,2
B Ahmed,19,19,19.0,28,67.85,0,0,0,1,1
C Dala,19,12,19.0,28,67.85,0,0,0,1,0
I Hassan,19,12,3.8,41,46.34,0,0,3,0,0
I Haider,19,15,9.5,26,73.07,0,0,0,2,1
I Tahir,19,9,19.0,18,105.55,0,0,0,1,1
I Mir,19,18,19.0,7,271.42,0,0,1,0,2
J Singh,19,11,9.5,23,82.6,0,0,0,1,0
J Sheikh,19,9,6.33,20,95.0,0,0,0,1,1
M Ahsan,19,8,6.33,20,95.0,0,0,0,0,1
S Netravalkar,19,12,19.0,15,126.66,0,0,0,1,1
H Nicholls,19,7,4.75,28,67.85,0,0,0,2,0
A Paraam,19,10,19.0,10,190.0,0,0,0,2,1
A Phangiso,19,13,6.33,29,65.51,0,0,0,1,0
S Mehmood,19,13,19.0,41,46.34,0,0,0,2,0
K Williams,19,13,6.33,17,111.76,0,0,1,1,1
N Yordanov,19,19,19.0,11,172.72,0,0,1,0,2
V Baskaran,18,14,9.0,23,78.26,0,0,1,0,0
B Khan,18,6,6.0,28,64.28,0,0,2,1,0
L Collado,18,8,18.0,34,52.94,0,0,0,0,0
B Hendricks,18,12,9.0,21,85.71,0,0,0,0,1
J Little,18,7,4.5,16,112.5,0,0,2,3,0
A Markram,18,15,9.0,17,105.88,0,0,0,1,1
N Islam,18,7,18.0,17,105.88,0,0,0,2,0
D Nikolov,18,13,9.0,33,54.54,0,0,0,2,0
P Sandakan,18,10,9.0,24,75.0,0,0,0,2,0
S Snater,18,10,3.6,16,112.5,0,0,2,0,1
H France,18,13,6.0,20,90.0,0,0,1,1,1
D Bishoo,17,8,8.5,29,58.62,0,0,1,2,0
T Blundell,17,14,17.0,21,80.95,0,0,0,0,0
L Dawson,17,10,17.0,8,212.5,0,0,0,2,1
R Emrit,17,11,5.66,27,62.96,0,0,0,0,1
D Gim,17,9,8.5,32,53.12,0,0,1,0,0
S Kizilkaya,17,8,4.25,28,60.71,0,0,1,3,0
J Mensah,17,16,8.5,10,170.0,0,0,0,1,1
K Pierre,17,9,8.5,23,73.91,0,0,0,2,0
R Hossain,17,8,3.4,30,56.66,0,0,4,1,0
G Russ,17,10,17.0,29,58.62,0,0,0,0,0
S Rutherford,17,9,5.66,23,73.91,0,0,0,1,0
S Jaleel,17,17,5.66,14,121.42,0,0,2,1,1
J Singleton,17,7,5.66,26,65.38,0,0,0,3,0
T Singye,17,11,8.5,25,68.0,0,0,0,2,0
O Willis,17,15,5.66,32,53.12,0,0,0,0,1
Z Tashnam,17,11,17.0,26,65.38,0,0,0,1,0
I Aboagye,16,7,4.0,37,43.24,0,0,1,0,0
A Ahmadhel,16,15,8.0,16,100.0,0,0,0,2,0
P Arrighi,16,11,4.0,46,34.78,0,0,1,0,0
J Barker,16,16,8.0,16,100.0,0,0,1,3,0
K Bishnoi,16,14,16.0,18,88.88,0,0,0,1,0
M Chauhan,16,15,8.0,8,200.0,0,0,0,0,2
U Dorji,16,8,8.0,17,94.11,0,0,0,2,0
L Goncalves,16,13,8.0,21,76.19,0,0,0,1,0
E Hutchinson,16,16,16.0,8,200.0,0,0,0,3,0
L Livingstone,16,16,8.0,19,84.21,0,0,1,1,0
K Modise,16,10,5.33,16,100.0,0,0,1,2,1
N Shanto,16,11,8.0,17,94.11,0,0,0,1,0
F Nsubuga,16,9,8.0,15,106.66,0,0,0,0,2
J Reva,16,7,4.0,22,72.72,0,0,0,1,1
D Steyn,16,5,3.2,23,69.56,0,0,1,1,0
A Islam,15,9,3.75,20,75.0,0,0,1,1,1
T Chatara,15,8,5.0,18,83.33,0,0,1,1,0
K Christie,15,11,7.5,20,75.0,0,0,0,0,0
G Cloete,15,13,7.5,15,100.0,0,0,0,2,0
S Cottrell,15,4,5.0,22,68.18,0,0,1,2,0
N Dutta,15,12,15.0,13,115.38,0,0,0,1,0
K Ebanks,15,8,3.75,27,55.55,0,0,1,1,0
J Hill,15,6,5.0,20,75.0,0,0,0,3,0
A Kose,15,15,3.75,33,45.45,0,0,3,3,0
N Rana,15,7,7.5,24,62.5,0,0,1,0,0
R Patel,15,15,15.0,25,60.0,0,0,1,1,0
U Master,15,15,7.5,13,115.38,0,0,1,1,0
