PLAYER,MAT,100
B Sharma,43.0,
S Watson,40.0,
S Baby,45.0,
S Binny,41.0,
S Aravind,49.0,
A Choudhary,41.0,
M Tiwary,48.0,
R Bhatia,39.0,
A Dinda,47.0,
B McCullum,37.0,
M Gony,42.0,
P Kumar,51.0,
S Jakati,46.0,
D Kulkarni,53.0,
S Kaushik,41.0,
G Gambhir,49.0,
Y Pathan,40.0,
C Woakes,55.0,
P Chawla,49.0,
M Sharma,41.0,
P Negi,46.0,
I Abdulla,57.0,
A Tare,41.0,
A Mishra,37.0,
I Sharma,34.0,
B Sran,35.0,
S Marsh,46.0,
G Singh,57.0,
M Johnson,38.0,
A Nath,45.0,
S Agarwal,33.0,
N Singh,41.0,
A Soni,43.0,
A Bawne,44.0,
I Pathan,42.0,
S Tiwary,40.0,
I Jaggi,42.0,
K Khejroliya,43.0,
B Laughlin,41.0,
M Vijay,45.0,
R Bhui,52.0,
D Shorey,47.0,
M Krishna,50.0,
S Goswami,42.0,
P Chopra,52.0,
J Scantlebury-Searles,33.0,
C Ingram,49.0,
R Salam,57.0,
G Viljoen,34.0,
C Varun,39.0,
N Naik,45.0,
G Vihari,46.0,
P Barman,42.0,
S Midhun,41.0,
H Gurney,36.0,
S Lad,34.0,
Y Raj,48.0,
S Warrier,38.0,
J Pattinson,34.0,
J Philippe,54.0,
C Green,49.0,
M Kumar,46.0,
R Patidar,35.0,
K Jamieson,51.0,
J Saxena,56.0,
L Meriwala,35.0,
K Bharat,56.0,
G Garton,35.0,
B Sudharsan,42.0,
H Rana,37.0,
K Kartikeya,44.0,
T Stubbs,39.0,
M Pathirana,44.0,
R Yadav,47.0,
N Ojha,48.0,
B Sharma,45.0,
S Watson,56.0,
S Baby,45.0,
S Binny,52.0,
S Aravind,48.0,
A Choudhary,55.0,
M Tiwary,41.0,
R Bhatia,34.0,
A Dinda,42.0,
B McCullum,39.0,
M Gony,34.0,
P Kumar,41.0,
S Jakati,33.0,
D Kulkarni,48.0,
S Kaushik,36.0,
G Gambhir,48.0,
Y Pathan,57.0,
C Woakes,56.0,
P Chawla,34.0,
M Sharma,39.0,
P Negi,46.0,
I Abdulla,38.0,
A Tare,36.0,
A Mishra,40.0,
I Sharma,47.0,
B Sran,56.0,
S Marsh,52.0,
G Singh,41.0,
M Johnson,46.0,
A Nath,41.0,
S Agarwal,37.0,
N Singh,53.0,
A Soni,41.0,
A Bawne,48.0,
I Pathan,35.0,
S Tiwary,37.0,
I Jaggi,51.0,
K Khejroliya,43.0,
B Laughlin,33.0,
M Vijay,53.0,
R Bhui,44.0,
D Shorey,33.0,
M Krishna,53.0,
S Goswami,40.0,
P Chopra,53.0,
J Scantlebury-Searles,52.0,
C Ingram,41.0,
R Salam,36.0,
G Viljoen,44.0,
C Varun,49.0,
N Naik,50.0,
G Vihari,34.0,
P Barman,37.0,
S Midhun,36.0,
H Gurney,55.0,
S Lad,35.0,
Y Raj,53.0,
S Warrier,33.0,
J Pattinson,42.0,
J Philippe,57.0,
C Green,50.0,
M Kumar,43.0,
R Patidar,51.0,
K Jamieson,55.0,
J Saxena,52.0,
L Meriwala,57.0,
K Bharat,56.0,
G Garton,52.0,
B Sudharsan,54.0,
H Rana,48.0,
K Kartikeya,44.0,
T Stubbs,49.0,
M Pathirana,47.0,
R Yadav,55.0,
N Ojha,36.0,
S Watson,53.0,
S Baby,45.0,
S Binny,55.0,
M Tiwary,53.0,
B McCullum,46.0,
S Kaushik,38.0,
G Gambhir,42.0,
P Chawla,57.0,
P Negi,56.0,
A Mishra,51.0,
B Sran,47.0,
M Johnson,45.0,
A Soni,57.0,
S Tiwary,51.0,
M Vijay,53.0,
R Bhui,45.0,
D Shorey,40.0,
J Scantlebury-Searles,44.0,
C Ingram,54.0,
R Salam,47.0,
C Varun,46.0,
G Vihari,44.0,
S Midhun,38.0,
H Gurney,51.0,
Y Raj,48.0,
J Pattinson,57.0,
J Philippe,52.0,
R Patidar,56.0,
G Garton,53.0,
T Stubbs,42.0,
M Guptill,83.0,1.0
S Malik,,1.0
D Warner,76.0,1.0
E Morgan,86.0,1.0
M Shahzad,65.0,1.0
J Duminy,81.0,1.0
P Stirling,72.0,1.0
M Hafeez,89.0,1.0
A Finch,58.0,1.0
L Taylor,95.0,1.0
U Akmal,84.0,1.0
A Villiers,78.0,1.0
H Masakadza,66.0,1.0
A Hales,60.0,1.0
C Gayle,58.0,1.0
M Dhoni,98.0,1.0
T Iqbal,75.0,1.0
M Samuels,67.0,1.0
S Raina,78.0,1.0
G Maxwell,61.0,1.0
S Hasan,76.0,1.0
C Munro,60.0,1.0
K Williamson,57.0,1.0
S Dhawan,58.0,1.0
K O'Brien,90.0,1.0
A Shehzad,59.0,1.0
M Mahmudullah,83.0,1.0
S Afridi,99.0,1.0
B Azam,36.0,1.0
K Coetzer,58.0,1.0
F Plessis,44.0,1.0
M Nabi,75.0,1.0
D Miller,72.0,1.0
H Amla,44.0,1.0
M Rahim,84.0,1.0
J Buttler,66.0,1.0
R Berrington,61.0,1.0
G Wilson,78.0,1.0
Y Singh,58.0,1.0
M Perera,42.0,1.0
N Perera,79.0,1.0
A Afghan,66.0,1.0
K Rahul,34.0,1.0
B Cooper,51.0,1.0
W Porterfield,61.0,1.0
K Pollard,68.0,1.0
A Mathews,72.0,1.0
C MacLeod,49.0,1.0
Q Kock,38.0,1.0
L Simmons,49.0,1.0
K Akmal,58.0,1.0
H Munsey,38.0,1.0
S Shinwari,62.0,1.0
S Anwar,32.0,1.0
S Rahman,44.0,1.0
N Zadran,57.0,1.0
J Root,32.0,1.0
M O'Dowd,36.0,1.0
E Chigumbura,54.0,1.0
E Lewis,29.0,1.0
S Williams,38.0,1.0
B Taylor,38.0,1.0
S Ahmed,58.0,1.0
L Chandimal,54.0,1.0
W Barresi,42.0,1.0
S Sarkar,46.0,1.0
A Balbirnie,37.0,1.0
P Khadka,30.0,1.0
A Fletcher,42.0,1.0
F Zaman,34.0,1.0
M Cross,43.0,1.0
J Roy,32.0,1.0
S Myburgh,33.0,1.0
C Kapugedera,43.0,1.0
M Usman,34.0,1.0
C Obuya,35.0,1.0
T Ura,23.0,1.0
P Borren,43.0,1.0
D Ramdin,71.0,1.0
C Chibhabha,33.0,1.0
M Waller,32.0,1.0
R Mustafa,38.0,1.0
J Bairstow,34.0,1.0
J Singh,25.0,1.0
R Hendricks,22.0,1.0
D Short,20.0,1.0
M Pandey,32.0,1.0
D Sammy,68.0,1.0
P Collingwood,36.0,1.0
S Smith,36.0,1.0
N Khan,34.0,1.0
Z Maqsood,29.0,1.0
B Hayat,24.0,1.0
K Sadiq,36.0,1.0
R Doeschate,22.0,1.0
R Patel,30.0,1.0
H Zazai,13.0,1.0
F Behardien,38.0,1.0
N Zadran,20.0,1.0
N Mangal,32.0,1.0
L Das,25.0,1.0
S Shafiqullah,46.0,1.0
C Anderson,31.0,1.0
G Malla,24.0,1.0
C Grandhomme,33.0,1.0
T Visee,27.0,1.0
M Chapman,24.0,1.0
G Bailey,30.0,1.0
B Mendis,24.0,1.0
G Naib,45.0,1.0
A Russell,47.0,1.0
P Seelaar,69.0,1.0
C Ervine,22.0,1.0
A Vala,26.0,1.0
D Malan,9.0,1.0
R Merwe,43.0,1.0
K Ali,29.0,1.0
M Gunathilaka,21.0,1.0
R Shahzad,22.0,1.0
U Ghani,19.0,1.0
N Kumar,18.0,1.0
M Shanaka,35.0,1.0
N Dickwella,23.0,1.0
M Tanveer,15.0,1.0
S Aziz,14.0,1.0
R Pant,26.0,1.0
A Ilyas,22.0,1.0
T David,12.0,1.0
M Erasmus,16.0,1.0
W Tharanga,26.0,1.0
S Raza,32.0,1.0
K Karthik,32.0,1.0
R Cheema,24.0,1.0
S Baard,13.0,1.0
A Obanda,30.0,1.0
C Amini,23.0,1.0
M Mortaza,54.0,1.0
J Rasu,13.0,1.0
H Talat,14.0,1.0
J Jenner,17.0,1.0
P Moor,21.0,1.0
N Dhaliwal,12.0,1.0
L Ronchi,33.0,1.0
R Sandaruwan,10.0,1.0
S Bau,23.0,1.0
K Shah,26.0,1.0
S Billings,26.0,1.0
S Chandramohan,12.0,1.0
D Bravo,20.0,1.0
J Vince,12.0,1.0
N Davin,16.0,1.0
S Edwards,29.0,1.0
A Ali,25.0,1.0
F Javed,15.0,1.0
S Thompson,41.0,1.0
A Kaleem,25.0,1.0
A Rath,20.0,1.0
N Vanua,25.0,1.0
T Head,16.0,1.0
T Seifert,19.0,1.0
B Stevens,17.0,1.0
G Delany,17.0,1.0
N Nipiko,14.0,1.0
N Pooran,16.0,1.0
R Powell,23.0,1.0
V Singh,12.0,1.0
C Brathwaite,41.0,1.0
H Pandya,40.0,1.0
S Vesawkar,17.0,1.0
N Ferraby,14.0,1.0
T Sajjad,12.0,1.0
L Siaka,26.0,1.0
K Khan,14.0,1.0
R Mutumbami,22.0,1.0
B Bhandari,27.0,1.0
C Lynn,18.0,1.0
D Airee,18.0,1.0
I Karim,16.0,1.0
M Shahzad,20.0,1.0
T Bruce,15.0,1.0
S Hetmyer,20.0,1.0
T Siriwardana,22.0,1.0
A Javed,22.0,1.0
R Singh,12.0,1.0
P Matautaava,10.0,1.0
S Taylor,8.0,1.0
M Santner,39.0,1.0
I Wasim,41.0,1.0
D Rawlins,11.0,1.0
A Idrees,6.0,1.0
N Tarakai,12.0,1.0
D Silva,13.0,1.0
M Singh,12.0,1.0
R Burl,16.0,1.0
H Dussen,9.0,1.0
W Barkat,22.0,1.0
S Mire,9.0,1.0
G Dockrell,73.0,1.0
C Williams,13.0,1.0
J Kotze,12.0,1.0
M Rishwan,11.0,1.0
C Ackermann,11.0,1.0
M Kashif,10.0,1.0
M Leask,31.0,1.0
S Poynter,25.0,1.0
A Khan,30.0,1.0
A Ahmed,12.0,1.0
S Hope,13.0,1.0
M Ali,25.0,1.0
F Couana,7.0,1.0
H Tector,14.0,1.0
B Stokes,23.0,1.0
H Gori,7.0,1.0
M Rizlan,15.0,1.0
R Gurbaz,7.0,1.0
C Bisson,14.0,1.0
S Iyer,14.0,1.0
I Udana,27.0,1.0
D Gunaratne,12.0,1.0
I Inam-ul-Haq,11.0,1.0
G Jayasuriya,16.0,1.0
S Sharif,10.0,1.0
C Walton,19.0,1.0
D Blampied,17.0,1.0
T Southee,66.0,1.0
C Jordan,43.0,1.0
M Rippon,18.0,1.0
K Kulasekara,58.0,1.0
E Munaweera,13.0,1.0
B Ward,13.0,1.0
S Prasanna,20.0,1.0
S Wickramasekara,5.0,1.0
H Arshad,10.0,1.0
H Sohail,14.0,1.0
K Nawaz,18.0,1.0
B Zalmai,5.0,1.0
G Shabber,17.0,1.0
B Perera,8.0,1.0
B Mendis,22.0,1.0
J Smit,12.0,1.0
A Faiz,10.0,1.0
J Butler,9.0,1.0
K Leverock,12.0,1.0
D Gondaria,11.0,1.0
R Panchal,9.0,1.0
S Kami,28.0,1.0
S Tanvir,57.0,1.0
Y Ali,9.0,1.0
A Sheikh,11.0,1.0
S Davizi,2.0,1.0
R Rohan,10.0,1.0
A Hassan,11.0,1.0
J Neesham,18.0,1.0
U Adam,11.0,1.0
X Marshall,13.0,1.0
M Hossain,14.0,1.0
M Rizwan,16.0,1.0
C Tommy,12.0,1.0
C Meschede,5.0,1.0
K Shah,7.0,1.0
M Naveed,31.0,1.0
M Marsh,11.0,1.0
K KC,25.0,1.0
N Sarwar,14.0,1.0
H Shah,9.0,1.0
G Elliott,17.0,1.0
S Singh,18.0,1.0
D Willey,28.0,1.0
T Sharma,8.0,1.0
R Jadeja,46.0,1.0
T Latham,13.0,1.0
P Hennessy,8.0,1.0
N Param,8.0,1.0
R Chakabva,12.0,1.0
J Faulkner,24.0,1.0
M Henriques,11.0,1.0
A Mansale,14.0,1.0
M Arief,5.0,1.0
H Carlyon,9.0,1.0
H Klaasen,9.0,1.0
S Narine,51.0,1.0
N Greenwood,8.0,1.0
M Adair,17.0,1.0
N Collins,5.0,1.0
H Rutherford,8.0,1.0
N Coulter-Nile,28.0,1.0
I Ahmed,6.0,1.0
R Khan,45.0,1.0
V Chikkannaiah,7.0,1.0
W Fernando,10.0,1.0
O Bascome,11.0,1.0
C Wallace,19.0,1.0
K Janat,21.0,1.0
W Riaz,31.0,1.0
M Klinger,3.0,1.0
M Naim,3.0,1.0
E Khan,15.0,1.0
K Paul,18.0,1.0
U Amin,14.0,1.0
F Afzal,9.0,1.0
S Ali,4.0,1.0
S Periyalwar,4.0,1.0
G Phillips,11.0,1.0
S Pokhriyal,5.0,1.0
R Shah,4.0,1.0
A Douglas,10.0,1.0
L Ferbrache,9.0,1.0
H Patel,7.0,1.0
R Tari,14.0,1.0
Y Ebrahim,3.0,1.0
M Stoinis,19.0,1.0
F Khan,4.0,1.0
N Pathan,4.0,1.0
F Ashraf,27.0,1.0
C Morris,23.0,1.0
A Ahmed,9.0,1.0
P Rajapaksa,5.0,1.0
D D'Silva,10.0,1.0
S McKechnie,10.0,1.0
C Mutombodzi,13.0,1.0
S Malinga,79.0,1.0
H Walsh,13.0,1.0
M Stokes,9.0,1.0
N Shahzad,4.0,1.0
J Smuts,8.0,1.0
A Carey,25.0,1.0
A Mangal,9.0,1.0
M Asghar,4.0,1.0
S Muniandy,15.0,1.0
B Pai,4.0,1.0
R Ashwin,46.0,1.0
S Sharif,42.0,1.0
A Hawkins-Kay,16.0,1.0
K Jadhav,9.0,1.0
M Syahadat,10.0,1.0
C Onwuzulike,9.0,1.0
S Khan,38.0,1.0
D Bracewell,18.0,1.0
K Pandya,18.0,1.0
I Kayes,14.0,1.0
A Onikoyi,9.0,1.0
S Cheema,5.0,1.0
J Taylor,30.0,1.0
M Khan,19.0,1.0
M Mithun,14.0,1.0
N Khushi,10.0,1.0
H Singh,7.0,1.0
A Dutta,8.0,1.0
K Motlhanka,7.0,1.0
S Sohail,7.0,1.0
K Dasan,3.0,1.0
S Kaveri,7.0,1.0
W Parnell,40.0,1.0
C Suri,7.0,1.0
M Abdulla,5.0,1.0
F Ahmed,4.0,1.0
J Malhotra,6.0,1.0
M Boota,16.0,1.0
M Muhammad,7.0,1.0
J Holder,17.0,1.0
I Butt,4.0,1.0
J Shannon,8.0,1.0
A Lark,5.0,1.0
T Gugten,39.0,1.0
M Saifuddin,13.0,1.0
O Bascome,11.0,1.0
S Ngoche,28.0,1.0
G Thompson,10.0,1.0
V Vijh,4.0,1.0
K Doriga,17.0,1.0
N Maiolo,8.0,1.0
M Dai,9.0,1.0
O Hairs,8.0,1.0
N Laegsgaard,9.0,1.0
M Mosehle,7.0,1.0
M Bhavsar,9.0,1.0
L Dunbar,2.0,1.0
S Ahmed,17.0,1.0
R Abdul,7.0,1.0
S Kumar,13.0,1.0
L Tucker,14.0,1.0
A Uddin,4.0,1.0
M Cooray,4.0,1.0
S Jora,6.0,1.0
A Lalcheta,17.0,1.0
M Nurji,6.0,1.0
T Perera,6.0,1.0
V Shankar,9.0,1.0
H Tariq,15.0,1.0
T Maruma,13.0,1.0
B Stephenson,3.0,1.0
B Dunk,5.0,1.0
B Leede,8.0,1.0
I Bhima,4.0,1.0
J Prakash,12.0,1.0
B McDermott,12.0,1.0
T Musakanda,6.0,1.0
B Fernando,3.0,1.0
D Mitchell,9.0,1.0
A Ramly,10.0,1.0
S Samarawickrama,7.0,1.0
A Staal,9.0,1.0
G Strydom,6.0,1.0
Z Ibrahim,13.0,1.0
A Raza,36.0,1.0
R Shigiwal,4.0,1.0
M Udawatte,8.0,1.0
S Purat,3.0,1.0
H Jordaan,4.0,1.0
M Miraz,13.0,1.0
J Tucker,5.0,1.0
J Cutinho,3.0,1.0
W Ghauri,4.0,1.0
J Denly,10.0,1.0
A Arudin,12.0,1.0
J Mohammed,9.0,1.0
M Naeem,5.0,1.0
S Adedeji,6.0,1.0
M Nadeem,22.0,1.0
A Otwani,4.0,1.0
A Ferguson,5.0,1.0
N Madziva,15.0,1.0
M Haque,4.0,1.0
Z Shah,6.0,1.0
P Airee,11.0,1.0
S Getkate,14.0,1.0
R Iqbal,5.0,1.0
A Gandhi,3.0,1.0
D Michael,4.0,1.0
A Nurse,13.0,1.0
M Patel,8.0,1.0
N Khosla,4.0,1.0
I Okpe,8.0,1.0
A Hossain,8.0,1.0
J Davey,21.0,1.0
P Gallagher,3.0,1.0
M Singh,8.0,1.0
A Agar,21.0,1.0
F Cossa,6.0,1.0
A Mohan,5.0,1.0
M Awais,3.0,1.0
T Paine,12.0,1.0
S Ashraf,4.0,1.0
R Siri,4.0,1.0
A Jones,8.0,1.0
M Jones,8.0,1.0
A Abbasi,6.0,1.0
D Darrell,11.0,1.0
I Hussain,3.0,1.0
R Paudel,11.0,1.0
C Rizwan,5.0,1.0
Z Green,16.0,1.0
N Hasan,9.0,1.0
G Banner,3.0,1.0
S Goud,12.0,1.0
S Wasif,9.0,1.0
S Wijeyeratne,2.0,1.0
T Bavuma,2.0,1.0
D Hooper,9.0,1.0
H Kayondo,3.0,1.0
R Mahmood,5.0,1.0
N Kirton,5.0,1.0
H Patel,4.0,1.0
S Hirugade,6.0,1.0
S Runsewe,6.0,1.0
G Venkateswaran,3.0,1.0
J Vira,14.0,1.0
N Broom,11.0,1.0
T Fray,10.0,1.0
A McBrine,19.0,1.0
C Munoz-Mills,9.0,1.0
A Oyede,8.0,1.0
A Phehlukwayo,23.0,1.0
R Thomas,8.0,1.0
H Mughal,4.0,1.0
H Rasheed,8.0,1.0
A Pusthay,5.0,1.0
A Wright,8.0,1.0
S Naqash,7.0,1.0
T Taylor,6.0,1.0
A Hashmi,8.0,1.0
F Mulivai,4.0,1.0
H Farooq,4.0,1.0
C Hauptfleisch,5.0,1.0
I Haq,5.0,1.0
T Sole,9.0,1.0
J Umanath,7.0,1.0
R Ankad,8.0,1.0
A Cremer,29.0,1.0
D Zadran,34.0,1.0
R Escobar,5.0,1.0
A Patel,11.0,1.0
S Zulfiqar,11.0,1.0
J Vare,8.0,1.0
C Viljoen,12.0,1.0
W Khan,8.0,1.0
H Ahmad,7.0,1.0
A Michael,4.0,1.0
Z Farid,4.0,1.0
A Khan,7.0,1.0
P Mendis,4.0,1.0
W Ahmed,10.0,1.0
J Bulele,7.0,1.0
S Kuggeleijn,9.0,1.0
H Lakov,3.0,1.0
F Allen,11.0,1.0
A Uddin,6.0,1.0
A Iqbal,4.0,1.0
B Arora,4.0,1.0
K Birkenstock,4.0,1.0
S Dube,6.0,1.0
G Manan,3.0,1.0
A Ahir,3.0,1.0
W Rankin,48.0,1.0
S Khan,3.0,1.0
U Waheed,6.0,1.0
V Balakrishnan,3.0,1.0
L Barker,9.0,1.0
I Ismail,7.0,1.0
K Lal,8.0,1.0
O Hald,9.0,1.0
H Ali,30.0,1.0
R Nehonde,7.0,1.0
N Odhiambo,16.0,1.0
A Sathya,3.0,1.0
P Shamdasani,4.0,1.0
A Tye,26.0,1.0
D Budge,6.0,1.0
J Kila,12.0,1.0
Z Khan,2.0,1.0
A Haque,9.0,1.0
H Niazi,4.0,1.0
M Amir,48.0,1.0
M Saleem,4.0,1.0
A Perera,6.0,1.0
I Sodhi,40.0,1.0
A Ikram,4.0,1.0
A Hider,13.0,1.0
D Heyliger,11.0,1.0
J Huo,7.0,1.0
D Jacobs,4.0,1.0
M Azzam,7.0,1.0
S Butt,3.0,1.0
F Butt,14.0,1.0
C Jonker,2.0,1.0
A Makesh,4.0,1.0
G Meade,8.0,1.0
A Sarma,3.0,1.0
P Sarraf,9.0,1.0
A Turner,11.0,1.0
A Sher,5.0,1.0
T Banton,3.0,1.0
E Knowles,7.0,1.0
P Manning,6.0,1.0
M Ross,8.0,1.0
D Ajekun,6.0,1.0
M Aslam,6.0,1.0
C Carter,10.0,1.0
P Silva,8.0,1.0
K Jarvis,22.0,1.0
M Ahsan,5.0,1.0
O Newey,7.0,1.0
R Satheesan,4.0,1.0
J Chilia,14.0,1.0
M Dixit,3.0,1.0
J Dunford,17.0,1.0
M Mandy,4.0,1.0
S Priyanjan,3.0,1.0
B King,6.0,1.0
M Watt,35.0,1.0
T Bharaj,9.0,1.0
G Caisley,4.0,1.0
S Cotter,4.0,1.0
A Manousis,3.0,1.0
D Nakrani,4.0,1.0
O Yousof,3.0,1.0
V Mbazo,4.0,1.0
A Rashid,40.0,1.0
M Huda,5.0,1.0
M Richardson,3.0,1.0
A Mauroof,10.0,1.0
G Chaturvedi,2.0,1.0
A Dananjaya,22.0,1.0
J Frylinck,14.0,1.0
J Siddiqui,13.0,1.0
H Kuhn,7.0,1.0
N Kumar,3.0,1.0
S Zakhil,3.0,1.0
D Smith,4.0,1.0
S Jamil,3.0,1.0
M Nadeem,5.0,1.0
M Patel,3.0,1.0
Q Khan,4.0,1.0
Y Seneveratne,6.0,1.0
J Singye,2.0,1.0
C Zhuwao,7.0,1.0
M Aboagye,3.0,1.0
V Adewoye,7.0,1.0
D Khan,9.0,1.0
D Weston,6.0,1.0
S Ahmad,5.0,1.0
K Gupta,4.0,1.0
Z Hoque,3.0,1.0
R Trott,15.0,1.0
A Khan,4.0,1.0
S Ateak,3.0,1.0
R Bakum,4.0,1.0
M Hunter,4.0,1.0
N Maddinson,6.0,1.0
M Latif,3.0,1.0
T Munyonga,5.0,1.0
N Rahman,7.0,1.0
V Tembo,6.0,1.0
Y Haroon,4.0,1.0
Z Sarwar,4.0,1.0
A Bilal,3.0,1.0
A Ayannaike,3.0,1.0
A Banner,3.0,1.0
L Emilio,5.0,1.0
G Gomes,7.0,1.0
I Ullah,4.0,1.0
S Badree,52.0,1.0
P Baron,5.0,1.0
P Mishra,3.0,1.0
M Rahman,37.0,1.0
S Zafar,11.0,1.0
M Patel,2.0,1.0
F Baaleri,4.0,1.0
M Mahfooz,11.0,1.0
M Ganee,5.0,1.0
L Plunkett,22.0,1.0
M Sert,4.0,1.0
D Stovell,6.0,1.0
J Vifah,3.0,1.0
K Young,3.0,1.0
A Rahimzei,7.0,1.0
A Hafizs,3.0,1.0
A Ashokan,2.0,1.0
K Joshi,4.0,1.0
B Mavuta,3.0,1.0
D Muhumuza,4.0,1.0
M Ekrami,3.0,1.0
A Hamza,31.0,1.0
T Chisoro,12.0,1.0
B Cutting,7.0,1.0
F Sham,15.0,1.0
I Bulbulia,3.0,1.0
L Musiani,5.0,1.0
E Packard,4.0,1.0
S Ravikumar,3.0,1.0
S Farhan,3.0,1.0
F Stoman,4.0,1.0
T Aziz,4.0,1.0
I Khan,4.0,1.0
P Silas,4.0,1.0
S Tobgay,2.0,1.0
P Meekeren,41.0,1.0
A Saiyed,4.0,1.0
D Kansonkho,7.0,1.0
A Kitchen,5.0,1.0
B Mailata,4.0,1.0
M Amin,4.0,1.0
H Pragji,4.0,1.0
V Chandra,3.0,1.0
I Danladi,3.0,1.0
C Delany,4.0,1.0
J Hirschi,4.0,1.0
A Ifill,6.0,1.0
R Kumar,4.0,1.0
D Manani,2.0,1.0
S Sola,4.0,1.0
C Soper,13.0,1.0
B Wheeler,6.0,1.0
T Curran,15.0,1.0
J Dunn,4.0,1.0
J Jojo,7.0,1.0
T Kane,7.0,1.0
M Qasim,3.0,1.0
M Hub,4.0,1.0
A Shakoor,6.0,1.0
M Biddappa,4.0,1.0
P Cummins,25.0,1.0
S Curran,5.0,1.0
C Lange,8.0,1.0
L Hermida,5.0,1.0
J Malan,2.0,1.0
V Morea,5.0,1.0
N Ali,2.0,1.0
S Ahmed,17.0,1.0
D Anefie,4.0,1.0
N Ahmed,24.0,1.0
S Rakshit,7.0,1.0
S Zulfiqar,6.0,1.0
J Sumerauer,8.0,1.0
W Viraliliu,10.0,1.0
P Handscomb,2.0,1.0
F Klaassen,21.0,1.0
C Mpofu,30.0,1.0
K Nestor,4.0,1.0
I Pandey,4.0,1.0
S Singh,7.0,1.0
A Westphal,5.0,1.0
A Wahid,5.0,1.0
K Bagabena,4.0,1.0
L Harrington-Myers,4.0,1.0
K Ahmed,5.0,1.0
G O'Brien,11.0,1.0
S Khan,6.0,1.0
K Silva,2.0,1.0
P Chameera,19.0,1.0
P Chandran,3.0,1.0
V Ganesan,4.0,1.0
J Singh,4.0,1.0
A Mehmi,3.0,1.0
R Mukasa,4.0,1.0
V Padhaal,5.0,1.0
D Sheeli,3.0,1.0
A Stokes,7.0,1.0
T Ali,5.0,1.0
Z Zulkifle,4.0,1.0
D Cato,3.0,1.0
L Tissier,9.0,1.0
M Mehmood,4.0,1.0
S Obed,12.0,1.0
S Rossi,5.0,1.0
J Salazar,2.0,1.0
T Ahmed,19.0,1.0
D Tiripano,10.0,1.0
C Zavoiu,3.0,1.0
A Malik,31.0,1.0
K Ahuja,8.0,1.0
E Miles,14.0,1.0
A Nehra,27.0,1.0
C Perchard,15.0,1.0
R Pillai,6.0,1.0
S Ashraf,8.0,1.0
A Wardak,9.0,1.0
T Allen,5.0,1.0
G Bakiweyem,3.0,1.0
T Barker,4.0,1.0
D Christian,16.0,1.0
R Dorji,1.0,1.0
H Fennell,5.0,1.0
S Pathirana,5.0,1.0
S Zadran,34.0,1.0
S Qureshi,5.0,1.0
W Ali,2.0,1.0
T Bruyn,2.0,1.0
R Goodwin,4.0,1.0
I Dawlatzai,14.0,1.0
G Kansonkho,6.0,1.0
L Oluoch,10.0,1.0
E Otieno,18.0,1.0
T Saha,4.0,1.0
W Sundar,18.0,1.0
C Wright,6.0,1.0
P Agnihotri,2.0,1.0
A Ahmed,3.0,1.0
T Jamtsho,2.0,1.0
J Kiani,4.0,1.0
W Masakadza,12.0,1.0
G Murali,3.0,1.0
S Okpe,8.0,1.0
C Pengkumta,4.0,1.0
S Badar,3.0,1.0
S Singh,8.0,1.0
A Srivastav,4.0,1.0
T Dar,4.0,1.0
V Kumar,3.0,1.0
A Hanif,4.0,1.0
A Farhath,2.0,1.0
M Bacarese,3.0,1.0
O Bascome,3.0,1.0
B Tahir,4.0,1.0
B Ivanov,3.0,1.0
J Singh,4.0,1.0
M McClenaghan,29.0,1.0
B Regmi,18.0,1.0
D Brangman,5.0,1.0
C Floyd,2.0,1.0
H Ahmadzai,5.0,1.0
H Singh,3.0,1.0
I Anwar,4.0,1.0
R Inampud,3.0,1.0
B Kumar,43.0,1.0
S Lamichhane,18.0,1.0
N Master,2.0,1.0
V Sachdev,2.0,1.0
S Islam,17.0,1.0
S Sohal,3.0,1.0
A Zampa,27.0,1.0
D Ankrah,4.0,1.0
S Aquilina,4.0,1.0
Z Arinaitwe,3.0,1.0
T Boult,27.0,1.0
P Silva,2.0,1.0
M Morkel,44.0,1.0
A Muslar,3.0,1.0
A Akbarjan,5.0,1.0
B Chari,3.0,1.0
L Gregory,5.0,1.0
I Imam-ul-Haq,2.0,1.0
K NG,4.0,1.0
L Madushanka,2.0,1.0
C Mahoney,3.0,1.0
S Murari,3.0,1.0
S Tiai,4.0,1.0
E Haq,5.0,1.0
A Haqqiem,4.0,1.0
K Flowers,3.0,1.0
Z Groenewald,10.0,1.0
K Yadav,19.0,1.0
N Pokana,19.0,1.0
J Sanjaya,8.0,1.0
J Scamans,2.0,1.0
A Uniyal,3.0,1.0
C Waiswa,4.0,1.0
A Mohammad,3.0,1.0
B Ahmed,1.0,1.0
C Dala,9.0,1.0
I Hassan,11.0,1.0
I Haider,2.0,1.0
I Tahir,38.0,1.0
I Mir,4.0,1.0
J Singh,5.0,1.0
J Sheikh,5.0,1.0
M Ahsan,6.0,1.0
S Netravalkar,8.0,1.0
H Nicholls,5.0,1.0
A Paraam,3.0,1.0
A Phangiso,16.0,1.0
S Mehmood,3.0,1.0
K Williams,24.0,1.0
N Yordanov,2.0,1.0
V Baskaran,12.0,1.0
B Khan,32.0,1.0
L Collado,4.0,1.0
B Hendricks,11.0,1.0
J Little,11.0,1.0
A Markram,2.0,1.0
N Islam,13.0,1.0
D Nikolov,3.0,1.0
P Sandakan,14.0,1.0
