PLAYER,MAT,100
R Khan,45.0,
V Chikkannaiah,7.0,
W Fernando,10.0,
O Bascome,11.0,
C Wallace,19.0,
K Janat,21.0,
W Riaz,31.0,
M Klinger,3.0,
M Naim,3.0,
E Khan,15.0,
K Paul,18.0,
U Amin,14.0,
F Afzal,9.0,
S Ali,4.0,
S Periyalwar,4.0,
G Phillips,11.0,
S Pokhriyal,5.0,
R Shah,4.0,
A Douglas,10.0,
L Ferbrache,9.0,
H Patel,7.0,
R Tari,14.0,
Y Ebrahim,3.0,
M Stoinis,19.0,
F Khan,4.0,
N Pathan,4.0,
F Ashraf,27.0,
C Morris,23.0,
A Ahmed,9.0,
P Rajapaksa,5.0,
D D'Silva,10.0,
S McKechnie,10.0,
C Mutombodzi,13.0,
S Malinga,79.0,
H Walsh,13.0,
M Stokes,9.0,
N Shahzad,4.0,
J Smuts,8.0,
A Carey,25.0,
A Mangal,9.0,
M Asghar,4.0,
S Muniandy,15.0,
B Pai,4.0,
R Ashwin,46.0,
S Sharif,42.0,
A Hawkins-Kay,16.0,
K Jadhav,9.0,
M Syahadat,10.0,
C Onwuzulike,9.0,
S Khan,38.0,
D Bracewell,18.0,
K Pandya,18.0,
I Kayes,14.0,
A Onikoyi,9.0,
S Cheema,5.0,
J Taylor,30.0,
M Khan,19.0,
M Mithun,14.0,
N Khushi,10.0,
H Singh,7.0,
A Dutta,8.0,
K Motlhanka,7.0,
S Sohail,7.0,
K Dasan,3.0,
S Kaveri,7.0,
W Parnell,40.0,
C Suri,7.0,
M Abdulla,5.0,
F Ahmed,4.0,
J Malhotra,6.0,
M Boota,16.0,
M Muhammad,7.0,
J Holder,17.0,
I Butt,4.0,
J Shannon,8.0,
A Lark,5.0,
T Gugten,39.0,
M Saifuddin,13.0,
O Bascome,11.0,
S Ngoche,28.0,
G Thompson,10.0,
V Vijh,4.0,
K Doriga,17.0,
N Maiolo,8.0,
M Dai,9.0,
O Hairs,8.0,
N Laegsgaard,9.0,
M Mosehle,7.0,
M Bhavsar,9.0,
L Dunbar,2.0,
S Ahmed,17.0,
R Abdul,7.0,
S Kumar,13.0,
L Tucker,14.0,
A Uddin,4.0,
M Cooray,4.0,
S Jora,6.0,
A Lalcheta,17.0,
M Nurji,6.0,
T Perera,6.0,
V Shankar,9.0,
H Tariq,15.0,
T Maruma,13.0,
B Stephenson,3.0,
B Dunk,5.0,
B Leede,8.0,
I Bhima,4.0,
J Prakash,12.0,
B McDermott,12.0,
T Musakanda,6.0,
B Fernando,3.0,
D Mitchell,9.0,
A Ramly,10.0,
S Samarawickrama,7.0,
A Staal,9.0,
G Strydom,6.0,
Z Ibrahim,13.0,
A Raza,36.0,
R Shigiwal,4.0,
M Udawatte,8.0,
S Purat,3.0,
H Jordaan,4.0,
M Miraz,13.0,
J Tucker,5.0,
J Cutinho,3.0,
W Ghauri,4.0,
J Denly,10.0,
A Arudin,12.0,
J Mohammed,9.0,
M Naeem,5.0,
S Adedeji,6.0,
M Nadeem,22.0,
A Otwani,4.0,
A Ferguson,5.0,
N Madziva,15.0,
M Haque,4.0,
Z Shah,6.0,
P Airee,11.0,
S Getkate,14.0,
R Iqbal,5.0,
A Gandhi,3.0,
D Michael,4.0,
A Nurse,13.0,
M Patel,8.0,
N Khosla,4.0,
I Okpe,8.0,
A Hossain,8.0,
J Davey,21.0,
P Gallagher,3.0,
M Singh,8.0,
A Agar,21.0,
F Cossa,6.0,
A Mohan,5.0,
M Awais,3.0,
T Paine,12.0,
S Ashraf,4.0,
R Siri,4.0,
A Jones,8.0,
M Jones,8.0,
A Abbasi,6.0,
D Darrell,11.0,
I Hussain,3.0,
R Paudel,11.0,
C Rizwan,5.0,
Z Green,16.0,
N Hasan,9.0,
G Banner,3.0,
S Goud,12.0,
S Wasif,9.0,
S Wijeyeratne,2.0,
T Bavuma,2.0,
D Hooper,9.0,
H Kayondo,3.0,
R Mahmood,5.0,
N Kirton,5.0,
H Patel,4.0,
S Hirugade,6.0,
S Runsewe,6.0,
G Venkateswaran,3.0,
J Vira,14.0,
N Broom,11.0,
T Fray,10.0,
A McBrine,19.0,
C Munoz-Mills,9.0,
A Oyede,8.0,
A Phehlukwayo,23.0,
R Thomas,8.0,
H Mughal,4.0,
H Rasheed,8.0,
A Pusthay,5.0,
A Wright,8.0,
S Naqash,7.0,
T Taylor,6.0,
A Hashmi,8.0,
F Mulivai,4.0,
H Farooq,4.0,
C Hauptfleisch,5.0,
I Haq,5.0,
T Sole,9.0,
J Umanath,7.0,
R Ankad,8.0,
A Cremer,29.0,
D Zadran,34.0,
R Escobar,5.0,
A Patel,11.0,
S Zulfiqar,11.0,
J Vare,8.0,
C Viljoen,12.0,
W Khan,8.0,
H Ahmad,7.0,
A Michael,4.0,
Z Farid,4.0,
A Khan,7.0,
P Mendis,4.0,
W Ahmed,10.0,
J Bulele,7.0,
S Kuggeleijn,9.0,
H Lakov,3.0,
F Allen,11.0,
A Uddin,6.0,
A Iqbal,4.0,
B Arora,4.0,
K Birkenstock,4.0,
S Dube,6.0,
G Manan,3.0,
A Ahir,3.0,
W Rankin,48.0,
S Khan,3.0,
U Waheed,6.0,
V Balakrishnan,3.0,
L Barker,9.0,
I Ismail,7.0,
K Lal,8.0,
O Hald,9.0,
H Ali,30.0,
R Nehonde,7.0,
N Odhiambo,16.0,
A Sathya,3.0,
P Shamdasani,4.0,
A Tye,26.0,
D Budge,6.0,
J Kila,12.0,
Z Khan,2.0,
A Haque,9.0,
H Niazi,4.0,
M Amir,48.0,
M Saleem,4.0,
A Perera,6.0,
I Sodhi,40.0,
A Ikram,4.0,
A Hider,13.0,
D Heyliger,11.0,
J Huo,7.0,
D Jacobs,4.0,
M Azzam,7.0,
S Butt,3.0,
F Butt,14.0,
C Jonker,2.0,
A Makesh,4.0,
G Meade,8.0,
A Sarma,3.0,
P Sarraf,9.0,
A Turner,11.0,
A Sher,5.0,
T Banton,3.0,
E Knowles,7.0,
P Manning,6.0,
M Ross,8.0,
D Ajekun,6.0,
M Aslam,6.0,
C Carter,10.0,
